Material type,Material number,Material description,Serial number,Storage location,Movement type,Material document number,Posting date,Quantity,UOM,Amount,Cost object,User Name
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",3214562,7SR,101,5000179070,11/24/15,1,EA,"1,854.27",,KITOWICZ
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",6405562,7SR,101,5000179070,11/24/15,1,EA,"1,854.27",,KITOWICZ
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",6444262,7SR,101,5000177034,11/5/15,1,EA,"1,854.27",,SCOTBAIN
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",6444262,7SR,201,4900134575,1/11/16,1,EA,"1,854.27",1805011,ELUBONJA
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1DXH942,OSR,101,5000155957,4/6/15,1,EA,672.26,,BILLG
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1DXH942,7SR,201,4900117189,5/7/15,1,EA,672.26,4080011,ZUKOWSKI
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1DXH942,OSR,311,4900117173,5/7/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1DXH942,7SR,311,4900117173,5/7/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1FHJ942,OSR,101,5000155007,3/27/15,1,EA,672.26,,BILLG
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1FHJ942,OSR,311,4900115438,4/13/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1FHJ942,7SR,311,4900115438,4/13/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1FHJ942,7SR,201,4900115493,4/13/15,1,EA,672.26,5015631,ERIKJOHN
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1FZJ942,OSR,101,5000155007,3/27/15,1,EA,672.26,,BILLG
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1FZJ942,OSR,311,4900114374,3/30/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1FZJ942,7SR,311,4900114374,3/30/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1FZJ942,7SR,201,4900114455,3/30/15,1,EA,672.26,4080011,ARIVERA
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1H7BM32,OSR,101,5000161601,6/4/15,1,EA,"1,854.27",,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1H7BM32,OSR,311,4900122610,7/22/15,1,EA,0,,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1H7BM32,7SR,311,4900122610,7/22/15,1,EA,0,,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1H7BM32,7SR,201,4900122837,7/24/15,1,EA,"1,854.27",1805011,FPIERRE
ZIT,DELLE7240,"Laptop, DELL, Latitude E7-DEFLAG 060215",1HX1L12,OSR,101,5000153492,3/12/15,1,EA,"1,769.50",,JARIAS
ZIT,DELLE7240,"Laptop, DELL, Latitude E7-DEFLAG 060215",1HX1L12,OSR,311,4900114702,4/2/15,1,EA,0,,BILLG
ZIT,DELLE7240,"Laptop, DELL, Latitude E7-DEFLAG 060215",1HX1L12,7SR,311,4900114702,4/2/15,1,EA,0,,BILLG
ZIT,DELLE7240,"Laptop, DELL, Latitude E7-DEFLAG 060215",1HX1L12,7SR,201,4900114746,4/2/15,1,EA,"1,769.50",1550161,ARIVERA
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1K6NC32,OSR,101,5000160488,5/26/15,1,EA,672.26,,BILLG
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1K6NC32,OSR,311,4900121963,7/14/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1K6NC32,3SR,311,4900121963,7/14/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1K6NC32,3SR,201,4900122049,7/14/15,1,EA,672.26,8200050,MHUARD
ZIT,DELLE7240,"Laptop, DELL, Latitude E7-DEFLAG 060215",1M1BQ32,OSR,101,5000161015,5/29/15,1,EA,"1,769.50",,BILLG
ZIT,DELLE7240,"Laptop, DELL, Latitude E7-DEFLAG 060215",1M1BQ32,OSR,102,5000161038,5/29/15,1,EA,"1,769.50",,MHUARD
ZIT,DELLE7240,"Laptop, DELL, Latitude E7-DEFLAG 060215",1M1BQ32,OSR,101,5000161233,6/1/15,1,EA,"1,769.50",,MHUARD
ZIT,DELLE7240,"Laptop, DELL, Latitude E7-DEFLAG 060215",1M1BQ32,OSR,161,5000161234,6/1/15,1,EA,"1,769.50",,MHUARD
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1MQ3V32,OSR,101,5000167262,7/30/15,1,EA,"1,854.27",,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1MQ3V32,OSR,311,4900124243,8/13/15,1,EA,0,,JARIAS
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1MQ3V32,7SR,311,4900124243,8/13/15,1,EA,0,,JARIAS
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1MQ3V32,7SR,201,4900127290,9/23/15,1,EA,"1,854.27",1805011,FPIERRE
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1S33062,OSR,101,5000172095,9/18/15,1,EA,"1,854.27",,JARIAS
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1S33062,OSR,311,4900127064,9/21/15,1,EA,0,,SCOTBAIN
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1S33062,7SR,311,4900127064,9/21/15,1,EA,0,,SCOTBAIN
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1S33062,7SR,201,4900130287,11/2/15,1,EA,"1,854.27",1805011,FPIERRE
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1SN3V32,OSR,101,5000167676,8/4/15,1,EA,"1,854.27",,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1SN3V32,OSR,311,4900125979,9/4/15,1,EA,0,,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1SN3V32,7SR,311,4900125979,9/4/15,1,EA,0,,BILLG
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",1SN3V32,7SR,201,4900127729,9/29/15,1,EA,"1,854.27",1805061,FPIERRE
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",1SSRM32,OSR,101,5000156001,4/7/15,1,EA,"1,854.26",,BILLG
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",1SSRM32,OSR,311,4900121205,7/2/15,1,EA,0,,JARIAS
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",1SSRM32,7SR,311,4900121205,7/2/15,1,EA,0,,JARIAS
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",1SSRM32,7SR,201,4900121296,7/2/15,1,EA,"1,828.78",1550161,ARIVERA
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1X9H942,OSR,101,5000155957,4/6/15,1,EA,672.26,,BILLG
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1X9H942,OSR,311,4900115657,4/15/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1X9H942,3SR,311,4900115657,4/15/15,1,EA,0,,JARIAS
ZIT,DELL3020,"Desktop, DELL, OptiPlex 3020 (1EA)",1X9H942,3SR,201,4900115750,4/15/15,1,EA,672.26,1550161,BENTHAM
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",26DDN12,OSR,311,4900110324,1/23/15,1,EA,0,,JARIAS
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",26DDN12,7SR,311,4900110324,1/23/15,1,EA,0,,JARIAS
ZIT,DELLE7440,"Laptop, DELL, Latitude-DEFLAG 110515",26DDN12,7SR,201,4900111418,2/12/15,1,EA,"1,813.28",1550161,ERIKJOHN
ZIT,DELLE7450,"Laptop, DELL, Latitude E7450 (1EA)",2872W32,OSR,101,5000171650,9/15/15,1,EA,"1,854.27",,BILLG
