name,assigned_to,u_casper_id,u_casper_id,manufacturer,serial_number,u_serial_number,location,u_mac_address,u_filemaker_id,sys_updated_on,disk_space
gm008-e02,,725,725,Apple,W89310Z464B,W89310Z464B,,,274674,1/11/16 10:03,
GM02E-7EA,,732,732,Apple,YM926GGM0TG,YM926GGM0TG,,,274728,1/11/16 10:03,
ltk-old,,806,806,Apple,H094114E4PD,H094114E4PD,,,274848,1/11/16 10:04,
gmffa-1bd,,903,903,Apple,W80224ZXATP,W80224ZXATP,,,274994,1/11/16 10:04,
bm92d-460,,1001,"1,001",Apple,W80410CGAGY,W80410CGAGY,,,275094,1/11/16 10:04,
xmce0-85e,,1035,"1,035",Apple,H004618DGWR,H004618DGWR,,,275222,1/11/16 10:04,
rm5b3-b74,,1062,"1,062",Apple,W80521PUAGZ,W80521PUAGZ,,,275340,1/11/16 10:04,
vm4a6-6ed,,1066,"1,066",Apple,QP05111SDNR,QP05111SDNR,,,275360,1/11/16 10:04,
vma0e-638,,1074,"1,074",Apple,W805318JAGZ,W805318JAGZ,,,275370,1/11/16 10:04,
bm568-2af,,1125,"1,125",Apple,QP10710BDNR,QP10710BDNR,,,275520,1/11/16 10:05,
gm051-c7f,,1156,"1,156",Apple,C02FD68NDF91,C02FD68NDF91,,,275586,1/11/16 10:05,
cm051-f55,,1159,"1,159",Apple,C02FD4B2DF91,C02FD4B2DF91,,,275616,1/11/16 10:05,
gm231-996,,1353,"1,353",Apple,C02GD06CDRJM,C02GD06CDRJM,,,276078,1/11/16 10:06,
gm4de-d7f,,1356,"1,356",Apple,D25GC07YDHJW,D25GC07YDHJW,,,276108,1/11/16 10:06,
gm1e4-a3d,,1359,"1,359",Apple,D25FV10MDHJW,D25FV10MDHJW,,,276116,1/11/16 10:06,
GM1CA-959,,1364,"1,364",Apple,C02GF31XDRJL,C02GF31XDRJL,,,276124,1/11/16 10:06,
gm54a-a7f,,1414,"1,414",Apple,C02GT08QDV17,C02GT08QDV17,,,276292,1/11/16 10:06,
wm054-5b8,,1423,"1,423",Apple,C02GT1Z6DJWR,C02GT1Z6DJWR,,,276318,1/11/16 10:06,
wm0c7-ece,,1443,"1,443",Apple,C02GX0SJDJWR,C02GX0SJDJWR,,,276376,1/11/16 10:06,
wm152-d34,,1446,"1,446",Apple,C02GY0P9DJY9,C02GY0P9DJY9,,,276392,1/11/16 10:06,
gm4d7-85b,,1448,"1,448",Apple,D25GC0CLDHJW,D25GC0CLDHJW,,,276398,1/11/16 10:06,
gm65b-e70,,1452,"1,452",Apple,C07H10U0DJD3,C07H10U0DJD3,,,276408,1/11/16 10:06,
wm831-8DE,,1489,"1,489",Apple,C02H60USDJWR,C02H60USDJWR,,,276498,1/11/16 10:06,
cm0eb-d4b,,1530,"1,530",Apple,D25GH1C8DHJW,D25GH1C8DHJW,,,276632,1/11/16 10:06,
wm835-07c,,1557,"1,557",Apple,C02H611HDJWR,C02H611HDJWR,,,276760,1/11/16 10:06,
GM28F-571,,1574,"1,574",Apple,C02HM0BJDV7P,C02HM0BJDV7P,,,276816,1/11/16 10:07,
wm833-004,,1582,"1,582",Apple,C02H60F8DJY9,C02H60F8DJY9,,,276838,1/11/16 10:07,
lmb7d-ec2,,1589,"1,589",Apple,W89431NH64B,W89431NH64B,,,276892,1/11/16 10:07,
gm077-413,,1593,"1,593",Apple,D25HF0WXDHJW,D25HF0WXDHJW,,,276900,1/11/16 10:07,
gm30d-028,,1607,"1,607",Apple,C02HR0HFDV10,C02HR0HFDV10,,,276942,1/11/16 10:07,
gm1c9-9e7,,1622,"1,622",Apple,D25FV0Z1DHJW,D25FV0Z1DHJW,,,276998,1/11/16 10:07,
BM1B4-8BF,,1626,"1,626",Apple,C02H3242DV7N,C02H3242DV7N,,,277030,1/11/16 10:07,
gm7b0-061,,1639,"1,639",Apple,D25HC1BNDHJW,D25HC1BNDHJW,,,277116,1/11/16 10:07,
wma6b-769,,1641,"1,641",Apple,C02HQ1H7DJWR,C02HQ1H7DJWR,,,277102,1/11/16 10:07,
wme06-8b1,,1654,"1,654",Apple,C02HX3MBDRVG,C02HX3MBDRVG,,,276642,1/11/16 10:06,
wme8a-603,,1657,"1,657",Apple,C02J24S8DRVG,C02J24S8DRVG,,,277132,1/11/16 10:12,
wmdbb-fdb,,1664,"1,664",Apple,C02J114FDRVG,C02J114FDRVG,,,277172,1/11/16 10:12,
GM35B-0BD,,1672,"1,672",Apple,D25G71X7DHJW,D25G71X7DHJW,,,277218,1/11/16 10:12,
wme43-2b5,,1673,"1,673",Apple,C02J21BLDRVG,C02J21BLDRVG,,,277228,1/11/16 10:12,
BM310-AB6,,1674,"1,674",Apple,C02HQ18ZDV7N,C02HQ18ZDV7N,,,277210,1/11/16 10:12,
wme1b-cc3,,1675,"1,675",Apple,C02J21N3DRVG,C02J21N3DRVG,,,277234,1/11/16 10:12,
wm832-9ca,,1688,"1,688",Apple,C02H60F2DJY9,C02H60F2DJY9,,,277288,1/11/16 10:12,
GM494-A00,,1691,"1,691",Apple,C02J10AEF1G3,C02J10AEF1G3,,,277296,1/11/16 10:12,
gm50c-ed8,,1696,"1,696",Apple,D25GJ0NLDHJW,D25GJ0NLDHJW,,,277304,1/11/16 10:12,
wm497-6cb,,1715,"1,715",Apple,C02J76P2DKQ5,C02J76P2DKQ5,,,275348,1/11/16 10:04,
wm19d-4a1,,1719,"1,719",Apple,C02J6A2ZDKQ5,C02J6A2ZDKQ5,,,277394,1/11/16 10:12,
wm47a-20b,,1722,"1,722",Apple,C02J6A34DKQ5,C02J6A34DKQ5,,,277400,1/11/16 10:12,
gm56b-00e,,1729,"1,729",Apple,QP104111DNR,QP104111DNR,,,277444,1/11/16 10:12,
wm832-4c8,,1733,"1,733",Apple,C02H60F5DJY9,C02H60F5DJY9,,,277462,1/11/16 10:12,
wm47b-1df,,1736,"1,736",Apple,C02J6A33DKQ5,C02J6A33DKQ5,,,277470,1/11/16 10:12,
wmcde-2e1,,1745,"1,745",Apple,C02J86SEDKQ5,C02J86SEDKQ5,,,277522,1/11/16 10:12,
wme52-0eb,,1755,"1,755",Apple,C02J26KBDRVG,C02J26KBDRVG,,,277560,1/11/16 10:12,
wmce6-12d,,1780,"1,780",Apple,C02J88EJDKQ5,C02J88EJDKQ5,,,277438,1/11/16 10:12,
wmc49-0ff,,1794,"1,794",Apple,C02JD2TADRVG,C02JD2TADRVG,,,274778,1/11/16 10:03,
wmf2f-e43,,1803,"1,803",Apple,C02JK1QNDRVG,C02JK1QNDRVG,,,276824,1/11/16 10:07,
wmf2f-003,,1811,"1,811",Apple,C02JK1LNDRVG,C02JK1LNDRVG,,,277598,1/11/16 10:12,
wmce6-e31,,1813,"1,813",Apple,C02J88RDDKQ5,C02J88RDDKQ5,,,277646,1/11/16 10:12,
wm49c-60f,,1820,"1,820",Apple,C02J88REDKQ5,C02J88REDKQ5,,,277652,1/11/16 10:12,
wm7eb-263,,1822,"1,822",Apple,C02JN101DR56,C02JN101DR56,,,277692,1/11/16 10:11,
wmedb-fe2,,1826,"1,826",Apple,C02JL1PEDRVG,C02JL1PEDRVG,,,277698,1/11/16 10:12,
gm1e1-4f5,,1827,"1,827",Apple,D25G91S1DHJW,D25G91S1DHJW,,,277684,1/11/16 10:12,
wm89f-fc1,,1835,"1,835",Apple,C02JN102DR56,C02JN102DR56,,,277744,1/11/16 10:11,
wmafd-fbd,,1841,"1,841",Apple,C02HQ0HXDJY9,C02HQ0HXDJY9,,,277824,1/11/16 10:12,
wmeda-dd4,,1842,"1,842",Apple,C02JL1PBDRVG,C02JL1PBDRVG,,,277830,1/11/16 10:12,
wmce6-9f9,,1848,"1,848",Apple,C02J88UADKQ5,C02J88UADKQ5,,,277838,1/11/16 10:12,
wmcf0-259,,1860,"1,860",Apple,C02JC2K3DKQ5,C02JC2K3DKQ5,,,275208,1/11/16 10:04,
bm22a-251,,1865,"1,865",Apple,C02JF203F1G3,C02JF203F1G3,,,275134,1/11/16 10:04,
