"name","assigned_to","u_casper_id","manufacturer","serial_number","depot","location","u_mac_address","u_filemaker_id","sys_updated_on","disk_space"
"wm4a9-4ea","","2070","Apple","C02JR2SVDRVG","Chicago","","","274372","2016-01-11 10:03:01",""
"wmd16-cbe","","3362","Apple","C02P90HLG3QP","Chicago","","","274364","2016-01-11 10:03:01",""
"wm47e-205","","2165","Apple","C02J67SEDKQ5","Chicago","","","274378","2016-01-11 10:03:02",""
"wmd48-119","","2730","Apple","C02KN13SFFRR","Chicago","","","274386","2016-01-11 10:03:03",""
"wmd1a-000","","2720","Apple","C02MC1VRFD58","Chicago","","","274394","2016-01-11 10:03:03",""
"wmd3c-7fd","","1884","Apple","C02JJ08TDKQ5","Chicago","","","274410","2016-01-11 10:03:05",""
"gm693-562","","1933","Apple","D25H2130DHJW","Chicago","","","274402","2016-01-11 10:03:05",""
"wm20e-c64","","2266","Apple","C02LD2GSF6T6","Chicago","","","274418","2016-01-11 10:03:06",""
"GM3BA-539","","1875","Apple","C02JM1DWF1G3","Chicago","","","274424","2016-01-11 10:03:09",""
"wmc93-ed0","","3357","Apple","C02P58D4G3QC","Chicago","","","274440","2016-01-11 10:03:09",""
"wm069-1a2","","1919","Apple","C02K709RDRVG","Chicago","","","274432","2016-01-11 10:03:09",""
"wmd16-94e","","2727","Apple","C02MC1VUFD58","Chicago","","","274448","2016-01-11 10:03:09",""
"WMB61-DF5","","3409","Apple","C02MM98UF6T6","Chicago","","","274472","2016-01-11 10:03:11",""
"wmdad-c91","","3399","Apple","C02N265ZG5RP","Chicago","","","274464","2016-01-11 10:03:11",""
"gmc8e-2c4","","3074","Apple","D25ND06WF8J9","Chicago","","","274456","2016-01-11 10:03:11",""
"wm8c3-0da","","3840","Apple","C1MQC6DYG944","Chicago","","","274488","2016-01-11 10:03:12",""
"wm8c2-406","","3833","Apple","C1MQC6TKG944","Chicago","","","274480","2016-01-11 10:03:13",""
"wm8bf-d66","","3823","Apple","C1MQC6TZG944","Chicago","","","274520","2016-01-11 10:03:23",""
"wm466-7a8","","1905","Apple","C02JN2D1DRVG","Chicago","","","274528","2016-01-11 10:03:23",""
"wma80-06e","","3743","Apple","C02M30B5FD59","Chicago","","","274542","2016-01-11 10:03:23",""
"wma2d-804","","3260","Apple","C02NK7V5G3QC","Chicago","","","274574","2016-01-11 10:03:23",""
"gm0a7-289","","3253","Apple","D25NX06EF8J9","Chicago","","","274558","2016-01-11 10:03:24",""
"WMB61-54D","","3727","Apple","C02MM98VF6T6","Chicago","","","274550","2016-01-11 10:03:24",""
