sys_import_state,template_import_log,u_casper_id,u_computer_name,u_last_user,u_model,u_model_id,u_os_name,u_os_version,u_processor_count,u_processor_speed,u_serial_number,sys_updated_on,sys_transform_map
Inserted,,725,gm008-e02,cindyhon,MacBook Pro (Mid 2009),"MacBookPro5,3",Mac OS X,10.10.5,2,"2,660",W89310Z464B,1/11/16 10:03,ITAM - Casper Computer
Inserted,,732,GM02E-7EA,jgomez,iMac Intel (Early 2009),"iMac9,1",Mac OS X,10.9.5,2,"2,660",YM926GGM0TG,1/11/16 10:03,ITAM - Casper Computer
Inserted,,806,ltk-old,karlsson,MacPro (Early 2009),"MacPro4,1",Mac OS X,10.11.2,4,"2,660",H094114E4PD,1/11/16 10:03,ITAM - Casper Computer
Inserted,,903,gmffa-1bd,dutra,13-inch MacBook Pro (Mid 2010),"MacBookPro7,1",Mac OS X,10.9.5,2,"2,400",W80224ZXATP,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,001",bm92d-460,wwinslow,15-inch MacBook Pro (Mid 2010),"MacBookPro6,2",Mac OS X,10.10.5,2,"2,530",W80410CGAGY,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,035",xmce0-85e,lsiren,MacPro (Mid 2010),"MacPro5,1",Mac OS X,10.9.5,12,"2,930",H004618DGWR,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,062",rm5b3-b74,heiman,15-inch MacBook Pro (Mid 2010),"MacBookPro6,2",Mac OS X,10.9.3,2,"2,660",W80521PUAGZ,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,066",vm4a6-6ed,mnemchuk,"iMac Intel (27-inch, Mid 2010)","iMac11,3",Mac OS X,10.9.5,4,"2,930",QP05111SDNR,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,074",vma0e-638,mnemchuk,15-inch MacBook Pro (Mid 2010),"MacBookPro6,2",Mac OS X,10.9.5,2,"2,800",W805318JAGZ,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,125",bm568-2af,judit,"iMac Intel (27-inch, Mid 2010)","iMac11,3",Mac OS X,10.9.5,4,"2,930",QP10710BDNR,1/11/16 10:04,ITAM - Casper Computer
Inserted,,"1,156",gm051-c7f,epolk,15-inch MacBook Pro (2011),"MacBookPro8,2",Mac OS X,10.9.5,4,"2,300",C02FD68NDF91,1/11/16 10:05,ITAM - Casper Computer
Inserted,,"1,159",cm051-f55,paulmcm,15-inch MacBook Pro (2011),"MacBookPro8,2",Mac OS X,10.9.5,4,"2,300",C02FD4B2DF91,1/11/16 10:05,ITAM - Casper Computer
Inserted,,"1,353",gm231-996,clary,15-inch MacBook Pro (2011),"MacBookPro8,2",Mac OS X,10.10.5,4,"2,300",C02GD06CDRJM,1/11/16 10:05,ITAM - Casper Computer
Inserted,,"1,356",gm4de-d7f,mrinne,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.9.5,4,"3,100",D25GC07YDHJW,1/11/16 10:05,ITAM - Casper Computer
Inserted,,"1,359",gm1e4-a3d,zsmith,"iMac Intel (27-inch, Mid 2011)","iMac12,2",Mac OS X,10.9.5,4,"3,100",D25FV10MDHJW,1/11/16 10:05,ITAM - Casper Computer
Inserted,,"1,364",GM1CA-959,heilbut,15-inch MacBook Pro (2011),"MacBookPro8,2",Mac OS X,10.10.3,4,"2,000",C02GF31XDRJL,1/11/16 10:05,ITAM - Casper Computer
Inserted,,"1,414",gm54a-a7f,kmar,13-inch MacBook Pro (2011),"MacBookPro8,1",Mac OS X,10.9.5,2,"2,800",C02GT08QDV17,1/11/16 10:06,ITAM - Casper Computer
Inserted,,"1,423",wm054-5b8,kardlie,MacBook Air (13-inch Mid 2011),"MacBookAir4,2",Mac OS X,10.9.5,2,"1,800",C02GT1Z6DJWR,1/11/16 10:06,ITAM - Casper Computer
Inserted,,"1,443",wm0c7-ece,sjia,MacBook Air (13-inch Mid 2011),"MacBookAir4,2",Mac OS X,10.10.5,2,"1,800",C02GX0SJDJWR,1/11/16 10:06,ITAM - Casper Computer
